brand,model,year,transmission,mileage,fuelType,engineSize
vw, Scirocco,2015,Manual,49853,Diesel,2.0
ford, Galaxy,2017,Manual,50446,Diesel,2.0
merc, GL Class,2014,Automatic,34534,Petrol,2.0
ford, Tourneo Custom,2016,Manual,22704,Diesel,2.0
hyundi, IX20,2017,Manual,15773,Petrol,1.4
ford, Grand Tourneo Connect,2015,Manual,94000,Diesel,1.6
merc, SLK,2000,Automatic,113237,Petrol,3.2
bmw, 6 Series,2016,Automatic,32449,Diesel,3.0
merc, S Class,2019,Automatic,4320,Diesel,3.0
ford, Grand C-MAX,2017,Manual,22888,Petrol,1.0
bmw, X4,2015,Automatic,44147,Diesel,3.0
hyundi, IX35,2015,Manual,59238,Diesel,1.7
hyundi, I40,2017,Manual,17393,Diesel,1.7
hyundi, IX35,2015,Manual,59817,Diesel,1.7
ford, Grand Tourneo Connect,2015,Manual,115613,Diesel,1.6
vauxhall, GTC,2016,Manual,40646,Petrol,1.4
toyota, Prius,2013,Automatic,56077,Hybrid,1.8
ford, Grand C-MAX,2019,Manual,15097,Diesel,1.5
bmw, Z4,2016,Semi-Auto,16761,Petrol,2.0
merc, SLK,2015,Manual,47003,Petrol,1.8
audi, A7,2019,Semi-Auto,6000,Diesel,2.0
bmw, 6 Series,2015,Semi-Auto,26797,Diesel,3.0
audi, A8,2019,Automatic,5000,Petrol,3.0
ford, Puma,2020,Manual,2396,Petrol,1.0
vw, Amarok,2019,Automatic,3412,Diesel,3.0
toyota, Hilux,2019,Automatic,18645,Diesel,2.4
ford, Grand C-MAX,2016,Automatic,13642,Diesel,1.5
merc, GL Class,2015,Automatic,51081,Diesel,3.0
vw, Arteon,2018,Semi-Auto,20810,Petrol,2.0
bmw, X4,2017,Semi-Auto,37114,Diesel,3.0
vw, Beetle,2014,Manual,33391,Diesel,1.6
ford, KA,2011,Manual,64304,Petrol,1.2
bmw, 6 Series,2014,Automatic,29178,Diesel,3.0
audi, RS6,2017,Automatic,17283,Petrol,4.0
vauxhall, GTC,2016,Manual,26342,Petrol,1.4
vauxhall, Vivaro,2016,Manual,13000,Diesel,1.6
skoda, Yeti,2017,Semi-Auto,11000,Petrol,1.2
merc, V Class,2019,Manual,20578,Diesel,2.1
audi, A8,2006,Automatic,104000,Diesel,3.0
ford, Tourneo Custom,2017,Manual,41269,Diesel,2.0
vw, Amarok,2019,Automatic,7500,Diesel,3.0
vw, Arteon,2019,Semi-Auto,3000,Petrol,1.5
toyota, Hilux,2018,Automatic,12276,Diesel,2.4
merc, S Class,2019,Semi-Auto,3380,Diesel,3.0
hyundi, Santa Fe,2019,Semi-Auto,7119,Diesel,2.2
ford, Edge,2016,Manual,28043,Diesel,2.0
vauxhall, GTC,2017,Manual,67928,Diesel,1.6
vw, Tiguan Allspace,2019,Manual,4487,Diesel,2.0
bmw, X7,2019,Semi-Auto,3003,Diesel,3.0
bmw, Z4,2014,Manual,31000,Petrol,2.0
toyota, Camry,2019,Automatic,10732,Hybrid,2.5
bmw, X4,2017,Automatic,68689,Diesel,2.0
toyota, PROACE VERSO,2019,Manual,10,Diesel,2.0
ford, Grand Tourneo Connect,2018,Manual,25546,Diesel,1.5
ford, Grand C-MAX,2017,Manual,38967,Petrol,1.0
merc, S Class,2019,Semi-Auto,1000,Diesel,3.0
audi, Q8,2019,Semi-Auto,5978,Diesel,4.0
merc, CLA Class,2013,Automatic,66000,Diesel,2.1
vauxhall, Combo Life,2019,Manual,4,Petrol,1.2
toyota, Prius,2016,Automatic,10000,Hybrid,1.8
toyota, Land Cruiser,2004,Automatic,160000,Diesel,3.0
hyundi, IX20,2016,Automatic,4210,Petrol,1.6
ford, Galaxy,2019,Semi-Auto,3802,Diesel,2.0
ford, Edge,2019,Semi-Auto,1521,Diesel,2.0
skoda, Yeti,2017,Automatic,12000,Petrol,1.2
toyota, Prius,2015,Automatic,22447,Hybrid,1.8
ford, Edge,2019,Semi-Auto,7999,Diesel,2.0
skoda, Scala,2019,Semi-Auto,430,Petrol,1.0
ford, Grand C-MAX,2017,Manual,32058,Diesel,1.5
hyundi, Santa Fe,2016,Manual,32696,Diesel,2.2
vw, Arteon,2017,Semi-Auto,30874,Petrol,2.0
toyota, Prius,2016,Automatic,31182,Hybrid,1.8
ford, Galaxy,2012,Manual,64237,Petrol,1.6
vw, Amarok,2019,Automatic,5466,Diesel,3.0
ford, Puma,2019,Manual,3068,Petrol,1.0
hyundi, Santa Fe,2018,Semi-Auto,10500,Diesel,2.2
vw, Arteon,2019,Manual,100,Diesel,2.0
hyundi, IX20,2015,Automatic,21900,Petrol,1.6
hyundi, Santa Fe,2017,Semi-Auto,16686,Diesel,2.2
vw, Beetle,2014,Manual,30323,Diesel,2.0
toyota, Verso,2017,Automatic,24972,Petrol,1.8
skoda, Kamiq,2020,Manual,2500,Petrol,1.0
vw, Scirocco,2016,Manual,32001,Diesel,2.0
hyundi, IX35,2015,Manual,47049,Diesel,2.0
skoda, Scala,2020,Automatic,100,Petrol,1.5
toyota, Land Cruiser,2017,Semi-Auto,34580,Diesel,2.8
toyota, Verso,2016,Manual,44098,Diesel,1.6
ford, Galaxy,2017,Manual,20999,Diesel,2.0
vw, Caravelle,2019,Semi-Auto,5434,Diesel,2.0
hyundi, IX35,2015,Manual,33910,Petrol,1.6
audi, R8,2013,Manual,19834,Petrol,4.2
toyota, Land Cruiser,2018,Automatic,15191,Diesel,2.8
vw, California,2019,Automatic,6739,Diesel,2.0
merc, SLK,2004,Manual,51566,Petrol,2.0
ford, Grand Tourneo Connect,2017,Manual,39494,Diesel,1.5
vauxhall, Antara,2014,Semi-Auto,62308,Diesel,2.2
vauxhall, Vivaro,2016,Manual,29652,Diesel,1.6
ford, Puma,2020,Manual,4998,Petrol,1.0
audi, RS4,2018,Automatic,23996,Petrol,2.9
ford, Galaxy,2019,Semi-Auto,9513,Diesel,2.0
merc, S Class,2018,Semi-Auto,2286,Petrol,3.0
vw, Scirocco,2016,Semi-Auto,13200,Diesel,2.0
ford, Edge,2017,Semi-Auto,15349,Diesel,2.0
skoda, Scala,2020,Semi-Auto,100,Petrol,1.5
toyota, GT86,2018,Manual,31231,Petrol,2.0
merc, X-CLASS,2018,Automatic,7820,Diesel,3.0
bmw, M3,2015,Semi-Auto,37249,Petrol,3.0
ford, KA,2016,Manual,17081,Petrol,1.2
ford, Grand C-MAX,2018,Manual,32038,Diesel,1.5
merc, CLA Class,2020,Automatic,1000,Petrol,1.3
merc, CLS Class,2016,Semi-Auto,23629,Diesel,2.1
ford, KA,2012,Manual,47000,Petrol,1.2
audi, A7,2017,Semi-Auto,38519,Diesel,3.0
bmw, 6 Series,2017,Automatic,31328,Diesel,3.0
vw, Jetta,2014,Manual,1,Diesel,1.6
ford, KA,2015,Manual,43544,Petrol,1.2
skoda, Kamiq,2019,Manual,1000,Petrol,1.0
merc, V Class,2017,Automatic,33000,Diesel,2.1
ford, Grand C-MAX,2016,Automatic,27571,Diesel,1.5
ford, Galaxy,2012,Manual,39653,Petrol,1.6
skoda, Scala,2019,Automatic,2356,Petrol,1.5
bmw, X4,2019,Automatic,123,Petrol,3.0
hyundi, IX20,2017,Manual,30458,Petrol,1.4
merc, CLS Class,2017,Semi-Auto,26747,Diesel,3.0
vw, Caravelle,2011,Automatic,45000,Diesel,2.0
vw, CC,2017,Semi-Auto,17955,Diesel,2.0
merc, GL Class,2016,Automatic,54761,Diesel,2.1
skoda, Scala,2019,Semi-Auto,3500,Petrol,1.5
bmw, X4,2019,Automatic,2380,Petrol,3.0
merc, SLK,2004,Automatic,62744,Petrol,2.0
merc, S Class,2010,Automatic,38000,Petrol,6.2
hyundi, Santa Fe,2017,Manual,30956,Diesel,2.2
toyota, Prius,2019,Automatic,722,Hybrid,1.8
ford, Galaxy,2019,Manual,2000,Diesel,2.0
vauxhall, Combo Life,2019,Manual,8001,Diesel,1.5
vw, Arteon,2019,Semi-Auto,25,Diesel,2.0
vw, Beetle,2016,Manual,65318,Diesel,2.0
ford, KA,2013,Manual,35708,Petrol,1.2
audi, S4,2018,Automatic,29000,Petrol,3.0
merc, S Class,2015,Automatic,76000,Diesel,3.0
merc, S Class,2001,Automatic,108800,Diesel,3.2
bmw, X4,2017,Automatic,41543,Diesel,2.0
vauxhall, Combo Life,2019,Manual,10048,Diesel,1.5
bmw, X4,2019,Semi-Auto,6170,Diesel,3.0
audi, A8,2018,Automatic,4284,Petrol,3.0
vw, Shuttle,2019,Semi-Auto,8605,Diesel,2.0
audi, Q8,2019,Automatic,1000,Diesel,3.0
merc, SLK,2016,Semi-Auto,29726,Diesel,2.0
vw, Caddy Maxi Life,2019,Semi-Auto,3818,Diesel,2.0
hyundi, I40,2019,Manual,30,Diesel,1.6
bmw, X4,2019,Semi-Auto,10910,Diesel,2.0
audi, S3,2016,Semi-Auto,42000,Petrol,2.0
skoda, Scala,2019,Manual,2900,Petrol,1.0
hyundi, IX20,2016,Automatic,3000,Petrol,1.6
hyundi, IX20,2017,Automatic,27185,Petrol,1.6
ford, KA,2014,Manual,24962,Petrol,1.2
ford, Edge,2018,Automatic,8633,Diesel,2.0
hyundi, IX35,2013,Manual,26454,Diesel,1.7
audi, SQ5,2017,Automatic,24575,Petrol,3.0
skoda, Kamiq,2020,Manual,1000,Petrol,1.0
vw, Caravelle,2019,Semi-Auto,2544,Diesel,2.0
vw, Tiguan Allspace,2019,Automatic,4635,Diesel,2.0
merc, V Class,2018,Manual,26276,Diesel,2.1
vauxhall, GTC,2015,Manual,49523,Diesel,2.0
ford, Grand Tourneo Connect,2017,Manual,9000,Diesel,1.5
vw, Beetle,2016,Manual,14382,Petrol,2.0
vauxhall, Antara,2015,Manual,65000,Diesel,2.2
hyundi, Getz,2007,Manual,57000,Petrol,1.1
ford, Edge,2017,Manual,9975,Diesel,2.0
ford, Edge,2018,Automatic,11007,Diesel,2.0
ford, Edge,2017,Manual,65853,Diesel,2.0
hyundi, IX35,2011,Manual,75617,Diesel,1.7
vw, Scirocco,2016,Manual,35692,Diesel,2.0
vw, Amarok,2018,Automatic,35000,Diesel,3.0
ford, Edge,2017,Manual,22017,Diesel,2.0
hyundi, I40,2019,Manual,30,Diesel,1.6
toyota, Hilux,2018,Manual,26411,Diesel,2.4
vw, Tiguan Allspace,2020,Manual,752,Diesel,2.0
vw, Caravelle,2019,Automatic,9200,Diesel,2.0
merc, CLS Class,2019,Semi-Auto,7038,Diesel,2.9
vauxhall, Combo Life,2019,Manual,9726,Diesel,1.5
vw, Scirocco,2015,Manual,50000,Petrol,2.0
vw, Arteon,2019,Semi-Auto,5807,Diesel,2.0
audi, A7,2016,Automatic,40674,Diesel,3.0
merc, CLS Class,2019,Semi-Auto,3354,Diesel,2.9
merc, V Class,2019,Automatic,18603,Diesel,2.1
hyundi, I800,2019,Manual,21457,Diesel,2.5
skoda, Yeti,2014,Manual,72500,Diesel,2.0
skoda, Rapid,2016,Semi-Auto,49000,Petrol,1.4
ford, KA,2010,Manual,38000,Petrol,1.2
merc, GL Class,2007,Automatic,104000,Diesel,3.0
bmw, M4,2019,Semi-Auto,1921,Petrol,3.0
skoda, Kamiq,2020,Semi-Auto,2500,Petrol,1.5
audi, A7,2014,Automatic,61140,Diesel,3.0
vw, Amarok,2016,Automatic,41978,Diesel,2.0
ford, Galaxy,2008,Manual,174000,Diesel,1.8
toyota, Prius,2016,Automatic,37000,Hybrid,1.8
toyota, Camry,2019,Automatic,3000,Hybrid,2.5
ford, Galaxy,2018,Manual,34350,Diesel,2.0
bmw, X4,2016,Semi-Auto,50944,Diesel,3.0
vw, Scirocco,2015,Manual,25751,Petrol,1.4
vauxhall, Combo Life,2019,Manual,2048,Diesel,1.5
bmw, 6 Series,2017,Automatic,26000,Diesel,3.0
ford, Tourneo Custom,2018,Manual,14292,Diesel,2.0
bmw, M4,2016,Automatic,4550,Petrol,3.0
vw, Scirocco,2016,Automatic,28902,Diesel,2.0
audi, A8,2018,Automatic,2490,Petrol,3.0
hyundi, IX20,2017,Manual,9760,Diesel,1.6
vauxhall, Antara,2013,Manual,53469,Diesel,2.2
ford, KA,2012,Manual,57500,Petrol,1.2
ford, Tourneo Custom,2018,Manual,2500,Diesel,2.0
merc, CLS Class,2019,Semi-Auto,5053,Diesel,2.9
merc, X-CLASS,2018,Automatic,11366,Diesel,3.0
merc, CLS Class,2011,Automatic,88559,Diesel,3.0
vauxhall, Combo Life,2019,Manual,8707,Diesel,1.5
skoda, Rapid,2018,Manual,15258,Petrol,1.0
toyota, Verso,2017,Manual,31756,Diesel,1.6
ford, Mustang,2017,Automatic,12000,Petrol,5.0
audi, A7,2014,Automatic,69743,Diesel,3.0
merc, CLK,2003,Automatic,185000,Petrol,4.3
vw, Caravelle,2020,Semi-Auto,1500,Diesel,2.0
hyundi, Santa Fe,2017,Manual,26306,Diesel,2.2
vw, Scirocco,2016,Manual,32628,Diesel,2.0
hyundi, IX35,2014,Manual,59247,Diesel,1.7
skoda, Kamiq,2019,Semi-Auto,1000,Petrol,1.5
ford, Edge,2017,Semi-Auto,43745,Diesel,2.0
hyundi, Santa Fe,2019,Automatic,20,Diesel,2.2
audi, Q8,2020,Semi-Auto,1500,Diesel,3.0
vw, Arteon,2017,Automatic,32387,Petrol,2.0
bmw, X6,2019,Automatic,15,Diesel,3.0
skoda, Kamiq,2019,Semi-Auto,10,Petrol,1.5
ford, Edge,2017,Manual,24151,Diesel,2.0
audi, RS3,2016,Semi-Auto,26930,Petrol,2.5
hyundi, Santa Fe,2019,Semi-Auto,2251,Diesel,2.2
bmw, 6 Series,2020,Semi-Auto,5,Petrol,2.0
skoda, Scala,2019,Semi-Auto,6000,Petrol,1.5
bmw, M4,2019,Semi-Auto,3452,Petrol,3.0
toyota, Avensis,2015,Manual,11653,Diesel,2.0
merc, X-CLASS,2019,Automatic,22000,Diesel,3.0
vauxhall, Agila,2013,Automatic,31090,Petrol,1.2
merc, S Class,2019,Automatic,2772,Diesel,3.0
merc, S Class,2019,Semi-Auto,6675,Diesel,3.0
merc, S Class,2016,Automatic,27000,Diesel,3.0
audi, A7,2011,Automatic,64675,Diesel,3.0
audi, Q8,2019,Automatic,6000,Diesel,3.0
merc, CLS Class,2016,Semi-Auto,35474,Diesel,3.0
merc, CLS Class,2018,Automatic,3942,Diesel,2.9
hyundi, IX20,2015,Manual,29000,Petrol,1.4
hyundi, IX20,2017,Manual,12704,Petrol,1.4
vauxhall, Combo Life,2019,Manual,6000,Diesel,1.5
vauxhall, Zafira Tourer,2016,Manual,51300,Petrol,1.4
vauxhall, GTC,2016,Manual,26397,Petrol,1.4
bmw, M5,2015,Semi-Auto,42932,Petrol,4.4
audi, A7,2015,Semi-Auto,13815,Petrol,3.0
bmw, i3,2017,Automatic,32867,Other,0.6
skoda, Yeti,2015,Manual,38900,Diesel,2.0
toyota, Prius,2017,Automatic,3440,Hybrid,1.8
toyota, IQ,2011,Automatic,30000,Petrol,1.0
bmw, 6 Series,2018,Semi-Auto,10250,Diesel,3.0
merc, S Class,2016,Semi-Auto,31210,Diesel,3.0
merc, S Class,2018,Automatic,25000,Diesel,2.9
bmw, M4,2015,Semi-Auto,35000,Petrol,3.0
bmw, 7 Series,2016,Semi-Auto,15143,Diesel,3.0
ford, Mustang,2018,Automatic,5000,Petrol,5.0
ford, Edge,2018,Semi-Auto,19364,Diesel,2.0
merc, CLA Class,2016,Automatic,28916,Diesel,2.1
ford, KA,2014,Manual,31423,Petrol,1.2
bmw, X6,2017,Semi-Auto,19924,Petrol,4.4
skoda, Rapid,2017,Semi-Auto,33558,Petrol,1.4
toyota, Land Cruiser,2004,Automatic,143000,Diesel,3.0
bmw, Z3,1997,Manual,49000,Petrol,1.9
bmw, X4,2016,Automatic,25465,Diesel,3.0
vw, Scirocco,2014,Semi-Auto,33705,Diesel,2.0
vw, Beetle,2017,Manual,30446,Petrol,1.2
vw, Beetle,2014,Manual,29699,Diesel,2.0
bmw, 6 Series,2005,Automatic,84000,Petrol,4.4
merc, SLK,2008,Automatic,58000,Petrol,3.0
ford, KA,2016,Manual,22280,Petrol,1.2
toyota, Prius,2018,Automatic,43078,Hybrid,1.8
hyundi, I800,2019,Manual,2269,Diesel,2.5
vw, Caravelle,2020,Automatic,5000,Diesel,2.0
hyundi, Santa Fe,2019,Semi-Auto,25,Diesel,2.2
vauxhall, Zafira Tourer,2016,Manual,32363,Petrol,1.4
audi, A7,2013,Automatic,63000,Diesel,3.0
skoda, Rapid,2017,Manual,22199,Petrol,1.2
vw, Arteon,2020,Semi-Auto,115,Petrol,2.0
ford, Galaxy,2017,Manual,28492,Diesel,2.0
hyundi, Santa Fe,2016,Automatic,42812,Diesel,2.2
skoda, Yeti,2013,Manual,59006,Diesel,2.0
toyota, GT86,2016,Manual,19987,Petrol,2.0
toyota, Supra,2019,Semi-Auto,1000,Petrol,3.0
vw, CC,2017,Automatic,27000,Diesel,2.0
merc, CLS Class,2014,Semi-Auto,42980,Diesel,2.1
bmw, X4,2018,Semi-Auto,10920,Diesel,2.0
vauxhall, Combo Life,2019,Automatic,826,Diesel,1.5
bmw, 7 Series,2016,Semi-Auto,21224,Petrol,4.4
merc, X-CLASS,2019,Automatic,12402,Diesel,2.3
ford, Edge,2019,Semi-Auto,16192,Diesel,2.0
bmw, X7,2020,Semi-Auto,4000,Diesel,3.0
hyundi, IX35,2014,Manual,70352,Diesel,1.7
merc, S Class,1999,Automatic,34000,Petrol,3.2
vw, Arteon,2017,Semi-Auto,18392,Diesel,2.0
vw, Arteon,2019,Manual,10,Diesel,2.0
merc, CLA Class,2017,Automatic,20182,Diesel,2.1
audi, A8,2019,Automatic,755,Diesel,3.0
skoda, Kamiq,2020,Semi-Auto,2000,Diesel,1.6
hyundi, IX20,2016,Manual,25969,Petrol,1.4
hyundi, Santa Fe,2019,Automatic,1173,Diesel,2.2
ford, KA,2015,Manual,36742,Petrol,1.2
hyundi, Santa Fe,2019,Semi-Auto,2390,Diesel,2.2
hyundi, Santa Fe,2017,Manual,28366,Diesel,2.2
ford, Grand C-MAX,2016,Semi-Auto,37799,Diesel,1.5
vw, Caravelle,2019,Semi-Auto,6565,Diesel,2.0
ford, Edge,2017,Manual,62124,Diesel,2.0
ford, Tourneo Connect,2015,Manual,88927,Diesel,1.5
merc, M Class,2012,Automatic,54632,Diesel,2.1
ford, Grand C-MAX,2017,Manual,14369,Diesel,1.5
hyundi, IX20,2016,Manual,2542,Petrol,1.4
ford, Grand C-MAX,2017,Manual,31399,Diesel,1.5
ford, Grand C-MAX,2017,Manual,22235,Diesel,1.5
hyundi, I800,2019,Automatic,804,Diesel,2.5
ford, Edge,2017,Semi-Auto,14143,Diesel,2.0
vw, Shuttle,2019,Semi-Auto,11542,Diesel,2.0
audi, RS6,2017,Semi-Auto,34926,Petrol,4.0
vw, Arteon,2019,Automatic,1413,Other,2.0
vw, Scirocco,2017,Manual,24784,Diesel,2.0
hyundi, Santa Fe,2016,Semi-Auto,30822,Diesel,2.2
merc, GL Class,2015,Automatic,53789,Diesel,2.1
vw, Amarok,2015,Manual,50114,Diesel,2.0
merc, GL Class,2015,Automatic,41270,Diesel,2.1
hyundi, IX20,2017,Manual,12836,Petrol,1.4
merc, SLK,2012,Automatic,51703,Diesel,2.1
ford, Grand C-MAX,2015,Semi-Auto,31221,Diesel,2.0
hyundi, Santa Fe,2019,Semi-Auto,10000,Diesel,2.2
vw, Arteon,2019,Semi-Auto,3000,Diesel,2.0
vw, Tiguan Allspace,2019,Automatic,15856,Diesel,2.0
vw, Scirocco,2018,Semi-Auto,23548,Petrol,2.0
ford, Tourneo Custom,2018,Manual,13306,Diesel,2.0
bmw, X4,2016,Automatic,57000,Diesel,3.0
ford, Edge,2017,Semi-Auto,19552,Diesel,2.0
vw, Tiguan Allspace,2019,Automatic,8963,Diesel,2.0
skoda, Yeti,2014,Manual,32078,Petrol,1.2
audi, A8,2015,Automatic,46558,Diesel,3.0
skoda, Yeti,2017,Manual,36078,Diesel,2.0
vauxhall, Zafira Tourer,2013,Manual,121349,Petrol,1.8
toyota, Verso,2017,Manual,44896,Petrol,1.6
hyundi, IX20,2017,Manual,12417,Petrol,1.4
toyota, GT86,2015,Manual,38126,Petrol,2.0
skoda, Yeti,2015,Manual,48870,Diesel,2.0
ford, KA,2014,Manual,57533,Petrol,1.2
audi, RS5,2019,Automatic,9108,Petrol,2.9
bmw, M4,2018,Semi-Auto,8797,Petrol,3.0
ford, Edge,2017,Manual,18968,Diesel,2.0
bmw, X6,2019,Automatic,5000,Petrol,3.0
skoda, Kamiq,2020,Manual,2046,Petrol,1.5
merc, GLS Class,2018,Semi-Auto,8963,Diesel,3.0
merc, S Class,2016,Semi-Auto,44072,Diesel,3.0
merc, CLS Class,2017,Semi-Auto,65700,Diesel,2.1
ford, Grand C-MAX,2017,Manual,12054,Petrol,1.0
bmw, X4,2016,Automatic,24881,Diesel,2.0
vw, Beetle,2015,Manual,37944,Diesel,2.0
ford, Galaxy,2019,Automatic,600,Diesel,2.0
vw, Scirocco,2017,Manual,25018,Petrol,2.0
vauxhall, Combo Life,2019,Manual,10098,Diesel,1.5
ford, Tourneo Custom,2017,Manual,32315,Diesel,2.0
toyota, Prius,2019,Automatic,4092,Other,1.8
toyota, Hilux,2016,Automatic,55883,Diesel,3.0
ford, Puma,2020,Manual,3073,Petrol,1.0
bmw, 6 Series,2016,Automatic,19411,Petrol,3.0
skoda, Kamiq,2020,Semi-Auto,4000,Petrol,1.5
ford, Puma,2019,Manual,578,Petrol,1.0
audi, A8,2019,Automatic,5000,Diesel,3.0
vw, Amarok,2014,Manual,60000,Diesel,2.0
merc, GLS Class,2017,Semi-Auto,44555,Diesel,3.0
merc, CLA Class,2016,Automatic,31959,Petrol,2.0
audi, RS3,2016,Automatic,50796,Petrol,2.5
ford, Fusion,2005,Manual,31000,Petrol,1.4
toyota, Prius,2017,Automatic,39402,Hybrid,1.8
hyundi, Santa Fe,2014,Automatic,51344,Diesel,2.2
skoda, Scala,2020,Automatic,1000,Petrol,1.0
toyota, Avensis,2016,Manual,61300,Diesel,1.6
hyundi, IX35,2013,Manual,50998,Diesel,1.7
vw, Amarok,2019,Automatic,1250,Diesel,3.0
vw, Tiguan Allspace,2019,Manual,94,Petrol,1.5
ford, Grand Tourneo Connect,2019,Manual,15297,Diesel,1.5
bmw, Z4,2019,Semi-Auto,8810,Petrol,2.0
audi, Q8,2019,Semi-Auto,10000,Diesel,3.0
vw, Scirocco,2016,Manual,57362,Diesel,2.0
ford, Mustang,2018,Automatic,6250,Petrol,5.0
vauxhall, GTC,2018,Manual,9802,Petrol,1.4
bmw, 8 Series,2019,Semi-Auto,3369,Petrol,4.4
merc, V Class,2018,Semi-Auto,12572,Diesel,2.2
ford, Grand Tourneo Connect,2015,Automatic,14079,Diesel,1.5
ford, Mustang,2020,Semi-Auto,3200,Petrol,5.0
ford, Grand C-MAX,2016,Manual,48154,Diesel,1.5
skoda, Scala,2020,Semi-Auto,1000,Petrol,1.5
bmw, M4,2020,Semi-Auto,5,Petrol,3.0
bmw, Z3,1999,Manual,58000,Petrol,1.9
vw, Caravelle,2020,Semi-Auto,15,Diesel,2.0
ford, Galaxy,2019,Semi-Auto,14872,Diesel,2.0
ford, Galaxy,2017,Manual,18000,Petrol,1.5
ford, KA,2015,Manual,30938,Petrol,1.2
audi, A7,2019,Automatic,5201,Diesel,3.0
hyundi, I800,2018,Manual,33387,Diesel,2.5
bmw, X7,2019,Semi-Auto,6391,Diesel,3.0
audi, A7,2017,Semi-Auto,21134,Diesel,3.0
vw, CC,2015,Manual,61119,Diesel,2.0
bmw, Z4,2019,Semi-Auto,156,Petrol,2.0
vw, Amarok,2018,Automatic,20811,Diesel,3.0
bmw, 7 Series,2019,Semi-Auto,5113,Diesel,3.0
skoda, Yeti,2013,Semi-Auto,29627,Diesel,2.0
ford, Fusion,2009,Manual,86022,Petrol,1.4
bmw, M4,2019,Semi-Auto,5644,Petrol,3.0
vw, Shuttle,2020,Manual,1578,Diesel,2.0
ford, Galaxy,2016,Semi-Auto,17136,Diesel,2.0
skoda, Kamiq,2019,Manual,3160,Petrol,1.0
vw, Beetle,2007,Manual,40000,Petrol,1.6
toyota, Hilux,2019,Manual,12679,Diesel,2.4
vw, Scirocco,2016,Manual,32546,Petrol,2.0
merc, V Class,2018,Manual,23275,Diesel,2.1
merc, CLS Class,2014,Automatic,48500,Diesel,2.1
ford, KA,2016,Manual,6205,Petrol,1.2
vw, Shuttle,2019,Semi-Auto,12316,Diesel,2.0
toyota, Hilux,2019,Manual,13000,Diesel,2.4
bmw, X4,2019,Semi-Auto,12855,Diesel,3.0
merc, CLS Class,2015,Semi-Auto,40912,Diesel,2.1
toyota, Verso,2013,Manual,30000,Diesel,2.0
bmw, 7 Series,2019,Semi-Auto,6249,Diesel,3.0
audi, RS5,2017,Semi-Auto,18630,Petrol,2.9
toyota, Prius,2019,Automatic,12998,Hybrid,1.8
toyota, Prius,2017,Automatic,25000,Hybrid,1.8
toyota, Verso,2017,Semi-Auto,16084,Petrol,1.8
vw, Amarok,2019,Manual,800,Diesel,3.0
toyota, GT86,2019,Manual,5123,Petrol,2.0
vw, Scirocco,2016,Manual,50347,Diesel,2.0
toyota, Prius,2010,Automatic,68296,Hybrid,1.8
merc, GLS Class,2017,Automatic,11575,Diesel,3.0
vauxhall, Combo Life,2018,Manual,13619,Diesel,1.5
hyundi, Santa Fe,2019,Automatic,11,Diesel,2.2
merc, V Class,2015,Automatic,57500,Diesel,2.1
ford, Galaxy,2016,Manual,145,Diesel,2.0
toyota, Land Cruiser,2016,Semi-Auto,43996,Diesel,2.8
audi, S3,2003,Manual,106000,Petrol,1.8
vw, Caddy Maxi Life,2019,Semi-Auto,1581,Diesel,2.0
vw, Shuttle,2018,Manual,25029,Diesel,2.0
audi, Q8,2019,Semi-Auto,6000,Diesel,3.0
merc, V Class,2019,Manual,100,Diesel,2.1
hyundi, IX20,2017,Automatic,22658,Petrol,1.6
bmw, M4,2017,Semi-Auto,63660,Petrol,3.0
audi, A8,2017,Automatic,1420,Diesel,3.0
vauxhall, Combo Life,2018,Manual,550,Diesel,1.5
vauxhall, Combo Life,2019,Manual,1800,Petrol,1.2
bmw, X6,2019,Automatic,10231,Diesel,3.0
bmw, X4,2020,Semi-Auto,100,Petrol,3.0
bmw, Z4,2020,Automatic,101,Petrol,2.0
vauxhall, GTC,2016,Manual,34391,Petrol,1.4
skoda, Rapid,2018,Manual,14742,Petrol,1.0
toyota, Avensis,2017,Manual,27196,Petrol,1.8
vw, Arteon,2019,Automatic,5257,Petrol,2.0
hyundi, I40,2014,Automatic,66031,Diesel,1.7
bmw, X6,2018,Semi-Auto,11500,Diesel,3.0
skoda, Rapid,2018,Manual,21014,Petrol,1.0
skoda, Kamiq,2020,Semi-Auto,3927,Petrol,1.5
vw, Beetle,2016,Manual,38540,Diesel,2.0
bmw, M3,2015,Semi-Auto,13537,Petrol,3.0
skoda, Kamiq,2019,Automatic,45,Petrol,1.5
vw, Amarok,2019,Automatic,3460,Diesel,3.0
ford, Mustang,2019,Semi-Auto,678,Petrol,5.0
vw, Shuttle,2019,Semi-Auto,4800,Diesel,2.0
skoda, Rapid,2017,Manual,33151,Petrol,1.0
toyota, Avensis,2014,Manual,44537,Diesel,2.0
vw, CC,2016,Automatic,32925,Diesel,2.0
merc, S Class,2019,Automatic,6468,Diesel,3.0
merc, SLK,2001,Automatic,69234,Petrol,2.0
toyota, Prius,2017,Automatic,47348,Hybrid,1.8
audi, R8,2019,Automatic,13663,Petrol,5.2
audi, A8,2018,Semi-Auto,5760,Petrol,3.0
toyota, Avensis,2017,Manual,35939,Diesel,1.6
skoda, Scala,2019,Semi-Auto,2838,Petrol,1.5
hyundi, IX35,2014,Manual,31172,Diesel,1.7
